MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SEPEF | Coordenação-Geral de Ciência do Clima e Sustentabilidade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTAL DE DADOS ABERTOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Resultados de emissões nacionais de gases de efeito estufa (GEE), 1990 a 2020, em giga gramas (Gg) de dióxido de carbono equivalente (CO2e - métrica GWP-100 anos, SAR-IPCC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Emissões CO2e 
(GWP, SAR IPCC)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
ENERGIA; 192.810 ; 196.376 ; 201.530 ; 206.003 ; 214.844 ; 230.983 ; 248.211 ; 264.336 ; 271.850 ; 281.510 ; 288.155 ; 296.284 ; 294.964 ; 287.747 ; 303.661 ; 313.395 ; 318.098 ; 331.373 ; 350.867 ; 338.929 ; 373.557 ; 387.916 ; 420.906 ; 452.351 ; 478.881 ; 454.439 ; 424.732 ; 429.503 ; 406.793 ; 408.343 ; 389.484 
PROCESSOS INDUSTRIAIS E OUTROS PRODUTOS (IPPU); 56.921 ; 61.998 ; 60.243 ; 63.208 ; 63.215 ; 68.016 ; 67.390 ; 70.452 ; 75.024 ; 74.377 ; 78.418 ; 74.913 ; 79.568 ; 80.372 ; 84.361 ; 84.020 ; 84.674 ; 88.748 ; 87.050 ; 77.207 ; 87.101 ; 93.877 ; 95.207 ; 96.795 ; 94.491 ; 95.421 ; 93.701 ; 98.161 ; 96.575 ; 101.463 ; 101.936 
AGROPECUÁRIA; 329.613 ; 338.738 ; 343.988 ; 349.262 ; 356.891 ; 359.471 ; 338.817 ; 346.371 ; 352.108 ; 356.624 ; 370.335 ; 384.276 ; 395.420 ; 422.506 ; 439.101 ; 438.197 ; 438.427 ; 429.053 ; 436.990 ; 442.011 ; 458.343 ; 463.081 ; 462.078 ; 467.437 ; 472.846 ; 476.279 ; 487.170 ; 464.502 ; 464.178 ; 468.371 ; 477.671 
USO DA TERRA, MUDANÇA DE USO DA TERRA E FLORESTAS  ; 907.513 ; 725.880 ; 838.587 ; 875.358 ; 852.933 ; 1.966.234 ; 1.243.209 ; 910.238 ; 1.169.334 ; 1.123.254 ; 1.174.452 ; 1.119.687 ; 1.328.443 ; 2.410.838 ; 2.604.350 ; 1.563.262 ; 1.195.766 ; 845.416 ; 954.649 ; 317.652 ; 252.164 ; 328.590 ; 178.554 ; 387.359 ; 246.064 ; 372.693 ; 404.497 ; 306.444 ; 334.502 ; 556.818 ; 637.039 
RESÍDUOS; 26.194 ; 27.788 ; 28.697 ; 30.827 ; 32.426 ; 34.257 ; 35.969 ; 37.158 ; 38.487 ; 40.406 ; 42.578 ; 45.129 ; 46.731 ; 48.582 ; 49.523 ; 51.475 ; 53.306 ; 53.477 ; 54.496 ; 56.081 ; 57.024 ; 57.495 ; 57.904 ; 61.560 ; 61.907 ; 62.802 ; 63.292 ; 64.425 ; 66.661 ; 67.467 ; 69.630 
TOTAL ; 1.513.050 ; 1.350.780 ; 1.473.045 ; 1.524.658 ; 1.520.309 ; 2.658.961 ; 1.933.597 ; 1.628.555 ; 1.906.803 ; 1.876.171 ; 1.953.939 ; 1.920.290 ; 2.145.126 ; 3.250.045 ; 3.480.997 ; 2.450.350 ; 2.090.271 ; 1.748.066 ; 1.884.052 ; 1.231.881 ; 1.228.189 ; 1.330.959 ; 1.214.650 ; 1.465.501 ; 1.354.190 ; 1.461.633 ; 1.473.392 ; 1.363.034 ; 1.368.710 ; 1.602.461 ; 1.675.759 
Fonte: Estimativas anuais de emissões de gases de efeito estufa no Brasil - 6ª edição. Emissões de GEE por Setor - Sistema de Registro Nacional de Emissões (SIRENE). MCTI, 2022. Disponível em: https://www.gov.br/mcti/pt-br/sirene/emissoes/emissoes-de-gee-por-setor-1. Acesso em: 24.06.2022.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
